,ESTU_CONSECUTIVO,ESTU_GRADO,ESTU_GENERO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_NATURALEZA,COLE_CALENDARIO,COLE_JORNADA,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_MODALIDAD,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT
17269,23616196,9,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,4,14,9
17270,23620126,4,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,12,8
17271,23620445,5,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,5,6,4
17272,23620731,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,10,14,4
17273,23622886,7,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,10,11,13,8
17274,23622996,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,5,7,3
17275,23623757,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,5,4,6
17276,23624000,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,7,8,12
17277,23630431,7,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,6,6,3
17278,23645832,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,6,11,6
17279,23668818,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,7,11,11
17280,23674597,3,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,7,8
17281,23682209,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,11,7,6,8
17282,23687675,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,9,6
17283,23698422,8,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,3,7,12,18
17284,23715801,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,7,10,7
17285,23736429,8,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,8,12,8
17286,23741040,7,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,12,11,8
17287,23741353,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,5,9,13
17288,23799423,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,8,10,6
17289,23821489,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,2,5,7
17290,23836877,9,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,9,9,2
17291,23854666,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,2,4,7
17292,23855604,7,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,10,16,15,19
17293,23859639,7,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,2,5,5
17294,23862541,5,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,5,5,7
17295,23863447,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,8,10,0
17296,23864543,9,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,5,7,6
17297,23865513,3,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,11,8
17299,23865556,9,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,11,0
17300,23867464,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,7,4,7
17301,23867857,11,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,3,11,0
17302,23868200,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,8,5
17303,23868332,8,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,7,11,15
17304,23869224,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,2,7,4
17305,23869230,7,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,5,13,9
17306,23869233,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,10,9,6
17307,23870245,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,1,4,11
17308,23874115,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,3,10,6
17309,23875276,9,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,4,7,4
17310,23877049,4,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,12,7
17311,23877829,4,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,12,9
17312,23878622,4,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,12,7
17313,23879006,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,2,8,9,6
17314,23879418,5,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,8,5,5,6
17315,23880950,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,4,11,8
17316,23881264,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,9,3,6,3
17317,23882930,9,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,10,2,18,7
17318,23884084,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,8,11,5
17319,23884088,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,4,6,2
17320,23884279,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,7,6,0
17321,23884280,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,6,7,0
17322,23884281,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,12,12,0
